,DET1.DIT,DET1.NDIT,DET2.DIT,DET2.NDIT,INS.SFL.NAME,INS.SFN.NAME,SEQ.PZT.END,SEQ.PZT.START,SEQ.PZT.STEP
966,0.05,40.0,0.02,40.0,1.5,2.0,10.0,0.0,1.0
967,0.05,40.0,0.02,40.0,1.5,2.0,10.0,0.0,1.0
971,0.02,100.0,0.02,40.0,1.5,2.0,10.0,0.0,1.0
972,0.02,100.0,0.02,40.0,1.5,2.0,0.0,10.0,-1.0
973,0.011,100.0,0.02,40.0,1.5,2.0,10.0,0.0,1.0
974,0.02,100.0,0.02,40.0,1.5,2.0,10.0,0.0,1.0
975,0.011,100.0,0.02,40.0,1.5,2.0,10.0,0.0,1.0
976,0.011,100.0,0.02,40.0,1.5,2.0,0.0,10.0,-1.0
977,0.05,40.0,0.02,100.0,1.5,2.0,10.0,0.0,1.0
978,0.05,40.0,0.02,100.0,1.5,2.0,10.0,0.0,1.0
979,0.05,40.0,0.02,100.0,1.5,2.0,0.0,10.0,-1.0
