,DET2.DIT,DET2.NDIT,DET2.NDITSKIP,DET2.PERIOD,DET2.TDELAY,DET2.WIN.MTCS1,DET2.WIN.MTCW1,DET2.WIN.MTRH1,DET2.WIN.MTRS1,SEQ.DARK.INS.SFN.NAME,SEQ.LAMP.COOLDOWN,SEQ.LAMP.WARMUP
2945,0.005,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2946,0.005,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2947,0.005,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2948,0.005,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2949,0.04,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2950,0.04,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2951,0.005,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2952,0.005,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2953,0.005,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2954,0.005,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2955,0.04,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2956,0.04,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2957,0.04,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2958,0.04,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
2959,0.04,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
